post,is_stress,stress_kind
"Well, eventually it was time for dinner, but I couldn't eat.",Yes,Everyday Decision Making
"This has led to some extreme food bills, as I take it upon myself to eat out whenever I get hungry.",Yes,Everyday Decision Making
I have so much on my mind lately and I don't know what to do.,Yes,Everyday Decision Making
it really sucks when someone you've really been wanting to talk to is busy and doesn't have time especially when you need them most,Yes,Everyday Decision Making
"Every time I think about the new Castlevania, I feel angry.",No,Everyday Decision Making
So with all the stress and everything going on I worry a lot.,Yes,Everyday Decision Making
I need food and i think we are cooking in facs today but i dont know.,No,Everyday Decision Making
I'm hungry and of course there is nothing in this house to eat.,Yes,Everyday Decision Making
"I have too much work to do, and too little time.",Yes,Everyday Decision Making
I eat meat occasionally but have been working hard to avoid all egg and dairy.,No,Everyday Decision Making
The problem comes when you are constantly thinking about it.,Yes,Everyday Decision Making
"I mean, I'm starving by this point and my brain is pissed at me and demands food if I refuse it sleep.",Yes,Everyday Decision Making
Obviously my practice is not strong enough to maintain a momentum.,Yes,Everyday Decision Making
actually my whole life is one of those hard to explain things. even to myself. lately,Yes,Everyday Decision Making
that was fun but my day is goin to be so boring!!!!!!!,No,Everyday Decision Making
"It's so hectic, and I'm always so stressed.",Yes,Everyday Decision Making
"Today was sooooo stressful, and I still feel like I could't get everything done if I tried. geuh.",Yes,Everyday Decision Making
It was like everything doesn't went smoothly and I screwed myself big time.Woke up in the morning and prepared for work.,Yes,Everyday Decision Making
i feel awful cause i dont know what to do. spend time with my mom or with matt cook.,Yes,Everyday Decision Making
"im so stressed out, i just dont have time for extra work.",Yes,Everyday Decision Making
"On top of that, we're starting our house hunt, which is stressful for more reasons than I even have space to mention.",Yes,Everyday Decision Making
Every serious attempt at dieting I've ever made has crashed and burned.,Yes,Everyday Decision Making
"yeh, we talked for like 10 minutes but had to go cuz i had to finish work at starbucks.",No,Everyday Decision Making
I am so SICK of worrying about FOOD all the time.,Yes,Everyday Decision Making
i dont think i could sit in this house all day doing nothing.,Yes,Everyday Decision Making
jeepney rides always mean grilling my head for a possible story.,Yes,Everyday Decision Making
With all the thoughts that run through my head everyday I just can't sort out my feelings on everything.,Yes,Everyday Decision Making
"I've taken time to do a lot of thinking, and a lot of things have changed in my mind. I think it's for the better, but we'll see.",Yes,Everyday Decision Making
"unfortunately, I have to go to work today and won't be able to watch it!",Yes,Everyday Decision Making
"i've just been so busy lately, i'm not even updating this from my house.",Yes,Everyday Decision Making
I've been planning on cleaning but then stupid stuff like getting my car fixed happens and I'm never there.,Yes,Everyday Decision Making
"Please, nobody talk to me about labyrinth camp because I am extremely busy right now as well as stressed out.",Yes,Everyday Decision Making
Three tests next week and I am stressing out like crazy.,Yes,Everyday Decision Making
I am pretty upset about my Thanksgiving plans that keep getting jumbled!,Yes,Everyday Decision Making
Everything that whole day was like serious and stressful and REAL.,Yes,Everyday Decision Making
"Food in hand, we ran into the major problem of the day.",No,Everyday Decision Making
The problem I have with cooking breakfast is that I always seem to burn it.,Yes,Everyday Decision Making
"Every day is a challenge, there were no easy days.",Yes,Everyday Decision Making
"We all have such contrasting schedules, it's kind of hard to find time to practice.",Yes,Everyday Decision Making
i am already sick and tired of waking up in the morning.,Yes,Everyday Decision Making
This house doesn't shield me from the world's pain that I believe I feel everyday.,Yes,Everyday Decision Making
"It's just too much work to do all that twice a day, or every day even.",Yes,Everyday Decision Making
"Irresponsible Stacey, however, still has to get her car aligned before the trip.",No,Everyday Decision Making
i have too much to do this week and not enough time to do it all.,Yes,Everyday Decision Making
"There is so much to do at work, I don't have enough time it seems.",Yes,Everyday Decision Making
The daily ups and downs.,Yes,Everyday Decision Making
i need to do laundry and i'm not going home this weekend.,Yes,Everyday Decision Making
"busy crappy days, ya kno. so many things to do, so little time, so little sleep.",Yes,Everyday Decision Making
that's actually really stressful cuz that's a lot of work i keep puting off!,Yes,Everyday Decision Making
An trying to figure out dinner ideas when your this exhasted and don't want to eat sucks.,Yes,Everyday Decision Making
i need to go make a list and start cleaning my hopelessly messy room!,Yes,Everyday Decision Making
i spend alot of my time at work worrying about kids like this.,Yes,Everyday Decision Making
That was not fun and I am quite glad to have Monday over with.,Yes,Everyday Decision Making
everyone is trying to survive on getting more hours.,Yes,Everyday Decision Making
"As often happens when I'm upset, I began cleaning my room with a desperate look in my eye.",Yes,Everyday Decision Making
I have been having to make a lot of decisions recently and it sucks.,Yes,Everyday Decision Making
"It's so odd, driving on my way to work everything that seemed to be so pain staking and huge became frivolous.",Yes,Everyday Decision Making
It does become tiresome and we've a long day of work ahead of us,Yes,Everyday Decision Making
I don't know what I want for dinner.,No,Everyday Decision Making
"So, the mandatory Christmas luncheon at work looms before me and I fear what may come to pass.",Yes,Everyday Decision Making
"Of course, any actual productivity is hindered by my perpetual lack of energy and motivation.",Yes,Everyday Decision Making
"Everyday that passes by, it gets more and more tough.",Yes,Everyday Decision Making
Im nervous about starting work Wednsday.,Yes,Everyday Decision Making
"I know that there is a lot going on with the whole house situation, but he seems hard core stressed.",Yes,Everyday Decision Making
With so many lay off's everybody worried about their jobs.,Yes,Everyday Decision Making
we couldnt even sit through dinner without them fighting.,Yes,Everyday Decision Making
"Its been on my mind a lot today, the suspense is killing me.",Yes,Everyday Decision Making
the working days is going to end soon.,No,Everyday Decision Making
Came home to a very cold home so we took showers to warm up.,No,Everyday Decision Making
I can't do everything I have lined up on my plate?,Yes,Everyday Decision Making
"So when that machine has problems, as now, work is impossible.",Yes,Everyday Decision Making
"I'm especially conflicted at this point because I don't where to go with my life, especially job related.",Yes,Everyday Decision Making
